2bf65f35304b2402c652052d25fc2f608cb844bf,Sun Jul 10 2011 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
evigeant,1,5.372377932783767
pmendelson,1,5.334026632847178
jconwell,1,3.1096512365250475
gbalats,1,3.473988585922638
xfournet,4,6.695497780596068
garydgregory,4,0.80857324032974
mar-kolya,1,2.2659226379201014
acornejo,1,5.870944831959417
jodastephen,1,0.0031959416613823715
mattjbray,1,0.6935193405199747
andylaw,2,3.397285986049461
JesusFreke,1,0.80857324032974
joelittlejohn,1,5.008040583386176
styurin,1,4.816284083703234
madrob,3,4.1067850348763475
ymenager,1,3.378110336081167
mmzen,1,0.9428027901077997
TKlerx,2,2.3426252377932784
cedricrefresh,8,4.720405833861763
adpdiddy,1,1.2496131896005074
lindenb,3,0.31000634115409004
Dougrinch,1,0.0031959416613823715
simon-clarkstone,2,1.9207609384908053
selliera,7,0.9428027901077997
tzellman,2,4.1067850348763475
simon04,16,0.8661001902346227
Vanuan,5,4.720405833861763
jeremysolarz,34,0.5784654407102092
amuraru,3,5.736715282181357
shekhargulati,1,0.022371591629676602
cheister,1,2.476854787571338
henryju,1,5.621661382371592
sauthieg,1,6.944781230183893
cbeust,540,7.002308180088776
kovalskyi,4,0.7702219403931515
wardev,3,2.0166391883322765
,9f251415677106b683e4bbaf82123f0e5930cdce,Tue Jul 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
boillodmanuel,1,3.649308814204185
tfiskgul,2,2.3645402663284716
slonopotamus,1,1.7700951173113506
chilinglam,1,3.8410653138871274
glhez,4,1.0797717184527584
chrisruffalo,2,2.613823715916297
chirino,1,7.944654407102092
huxi,1,7.848776157260621
kirill-vlasov,1,2.556296766011414
sclasen,5,7.369384908053266
jakobwenzel,1,1.3674064679771718
Woodham,1,1.0797717184527584
ansel1,2,7.561141407736208
triceo,2,1.3482308180088776
samvv,4,4.167051363348129
brasseld,1,4.493037412809131
pcl,1,7.541965757767914
dozmus,19,0.7537856689917565
tom-haines,1,1.0222447685478757
helllth,2,3.9752948636651873
71a1562385057d498290,1,1.2715282181357006
edbrannin,1,2.9973367152821813
jmassenet,1,4.934077362079899
yevmel,2,1.04142041851617
evigeant,1,6.372251109701966
pmendelson,1,6.333899809765377
jconwell,1,4.109524413443246
gbalats,1,4.473861762840837
xfournet,4,7.6953709575142675
garydgregory,4,1.808446417247939
mar-kolya,1,3.2657958148383006
acornejo,1,6.870818008877616
jodastephen,2,1.0030691185795815
mattjbray,1,1.6933925174381737
andylaw,2,4.39715916296766
JesusFreke,1,1.808446417247939
joelittlejohn,1,6.007913760304375
styurin,1,5.816157260621433
madrob,3,5.106658211794547
ymenager,1,4.377983512999366
tiberiu-biking,1,0.8304882688649334
mmzen,1,1.9426759670259988
TKlerx,2,3.3424984147114776
cedricrefresh,8,5.720279010779962
adpdiddy,1,2.2494863665187066
lindenb,3,1.309879518072289
Dougrinch,1,1.0030691185795815
simon-clarkstone,2,2.9206341154090043
selliera,14,1.9426759670259988
juewe,1,0.8880152187698162
tzellman,2,5.106658211794547
simon04,16,1.8659733671528218
Vanuan,5,5.720279010779962
jeremysolarz,34,1.5783386176284084
amuraru,3,6.736588459099556
shekhargulati,1,1.0222447685478757
cheister,1,3.476727964489537
henryju,1,6.621534559289791
sauthieg,1,7.944654407102092
cbeust,549,8.002181357006975
kovalskyi,4,1.7700951173113506
wardev,3,3.0165123652504757
